# 来源：中考英语核心高频688词背诵版.pdf
# 格式：word|词性|中文释义。词性含 n/v/a/d 时分别控制生成复数/动词变形/比较级。
# 词条数：688
burn|n v|燃烧；烧毁；灼伤v.烧伤；灼伤n.
bury|v|埋葬；掩埋；隐藏v.
bush|n|灌木；灌木丛n.
busy|a|忙碌的；繁忙的；热闹的adj.
butterfly|n|蝴蝶n.
calendar|n|日历；日程表n.
calm|a v|平静的；冷静的adj.使平静；使冷静v.
camp|n v|营地；野营n.露营；宿营v.
cancer|n|癌症；癌n.
candle|n|蜡烛n.
capital|a n|首都；省会；资本n.首都的；大写的adj.
care|n v|关心；照顾；在乎v.小心；关怀n.
career|n|职业；事业；生涯n.中考英语核心高频688词第18页共21页Day18（序号562-594）序号英文单词音标中文释义
cartoon|n|卡通；漫画；动画片n.
case|n|情况；案例；箱子n.
cash|n v|现金；现款n.兑现；付现v.
catch|v|抓住；接住；赶上；理解v.
cause|n v|导致；引起v.原因；起因；事业n.
celebrate|v|庆祝；庆贺；颂扬v.
centre|n v|中心；中央；核心n.集中；居中v.
century|n|世纪；百年n.
ceremony|n|仪式；典礼；礼节n.
certain|a|确定的；肯定的；某个adj.
challenge|n v|挑战；考验n.向…挑战；考验v.
champion|n|冠军；优胜者；拥护者n.
chance|n v|机会；机遇；可能性n.碰巧v.
character||
charge|n v|收费；充电；指责v.费用；电荷；指责n.
chat|n v|聊天；闲谈v.聊天；闲谈n.
cheap|a|便宜的；廉价的；劣质的adj.
cheat|n v|欺骗；作弊；蒙骗v.欺骗；骗子n.
check|n v|检查；核对；制止v.检查；支票n.
cheer|n v|欢呼；喝彩；鼓励v.欢呼；喝彩n.
chemistry|n|化学；化学性质n.
chocolate|n|巧克力；巧克力糖n.
choice|a n|选择；抉择；选项n.精选的adj.
choose|v|选择；挑选；决定v.
church|n|教堂；教会n.
circle|n v|圆；圆圈；圈子n.环绕；盘旋v.
classical|a|古典的；经典的；传统的adj.
climate|n|气候；风气；氛围n.
climb|n v|爬；攀登；上升v.攀爬；登山n.
close|a v|关闭；合上；结束v.近的；亲密的；紧密的adj.
club|n|俱乐部；社团；棍棒n.
coach|n v|教练；导师；长途汽车n.辅导；训练v.
coast|n|海岸；海滨n.
collect|v|收集；采集；搜集；募捐v.
college|n|大学；学院；专科学校n.
colour|n v|颜色；色彩n.给…着色；染色v.
comedy|n|喜剧；喜剧片；滑稽n.
comfortable|a|舒适的；舒服的；自在的adj.
command|n v|命令；指挥；掌握n.命令；指挥v.
common|a|常见的；普通的；共同的adj.
communicate|v|交流；沟通；传达v.
community|n|社区；群体；共同体n.
company|n|公司；陪伴；同伴n.
compare|v|比较；对比；比作v.
competition|n|竞争；比赛；竞赛n.
complain|v|抱怨；投诉；发牢骚v.
complete|a v|完整的；完全的adj.完成；结束v.
composition|n|作文；作曲；构成n.
concentrate|v|集中；专注；聚集v.
concert|n|音乐会；演奏会n.
conclusion|n|结论；结局；推论n.
condition|n|条件；状况；环境n.
conditional|a|有条件的；假定的adj.
confident|a|自信的；有信心的；确信的adj.
confuse|v|使困惑；使混淆；弄乱v.
congratulation|n|祝贺；恭喜n.
connect|v|连接；联结；联系v.中考英语核心高频688词第16页共21页Day16（序号496-528）序号英文单词音标中文释义
consider|v|考虑；认为；看作v.
contact|n v|接触；联系；交往n.联系；接触v.
contest|n v|竞争；争辩v.比赛；竞赛n.
continue|v|继续；持续；延伸v.
control|n v|控制；管理；支配v.控制；支配n.
convenience|n|方便；便利；便利设施n.
conversation|n|交谈；谈话；会话n.
correct|a v|正确的；恰当的adj.纠正；改正v.
cost|n v|花费；耗费v.成本；费用n.
count|n v|数；计算；认为v.计数；数量n.
couple|n|一对；一双；几个n.
course|n|课程；过程；航线n.
crazy|a|疯狂的；狂热的；着迷的adj.
create|v|创造；创建；创作v.
credit|n v|信用；信贷；赞扬n.相信；归功于v.
crowd|n v|人群；群众n.拥挤；挤满v.
culture|n|文化；文明；教养n.
cure|n v|治愈；治疗v.治愈；疗法n.
curious|a|好奇的；奇特的；古怪的adj.
customer|n|顾客；客户；消费者n.
cute|a|可爱的；迷人的；机灵的adj.
daily|a n|日常的；每日的adj.日报n.
damage|n v|损害；损坏；破坏v.损害；损失n.
danger|n|危险；风险n.
dare|v|敢；敢于v.竟敢；胆敢aux.
date|n v|日期；日子；约会n.注明日期；约会v.
deadline|n|最后期限；截止日期n.
deal|n v|处理；应对；交易v.交易；协议n.
death|n|死亡；灭亡；死因n.
decide|v|决定；选定；判决v.中考英语核心高频688词第2页共21页Day2（34-66）序号英文单词音标中文释义
decorate|v|装饰；装潢；点缀v.
degree|n|程度；度数；学位n.
delicious|a|美味的；可口的；芬芳的adj.
deliver|v|交付；递送；发表v.
depend|v|依靠；依赖；取决于v.
depress|v|使沮丧；使消沉；压低v.
describe|v|描述；形容；描绘v.
desert|n v|沙漠；荒漠n.抛弃；遗弃；擅离v.
design|n v|设计；图案；构思n.设计；策划v.
desperate|a|绝望的；不顾一切的；极度渴望的adj.
destroy|v|破坏；摧毁；毁灭v.
detail|n|细节；详情；细节n.
develop|v|发展；开发；培养；成长v.
die|v|死；死亡；消亡v.
differ|v|不同；有差异；意见分歧v.
different|a|不同的；有差异的adj.
dig|v|挖；掘；挖掘v.
digest|n v|消化；吸收；理解v.摘要；文摘n.
digital|a|数字的；数码的；电子的adj.
dining|a|进餐；用餐adj.
direct|a v|直接的；直系的adj.指导；指挥；指向v.
dirty|a|脏的；肮脏的；卑鄙的adj.
disable|v|使残疾；使丧失能力；使无效v.
disappear||
disappoint|v|使失望；使沮丧；使落空v.
disaster|n|灾难；灾祸；不幸n.
discourage|v|使气馁；使沮丧；阻碍v.
discover|v|发现；发觉；找到v.
discuss|v|讨论；谈论；商议v.
disease|n|疾病；病害n.
dish|n|盘子；菜肴；碟n.
display|n v|展示；陈列；显示v.展示；展览n.
distance|n|距离；间距；远方n.
double|a n|两倍的；双重的adj.两倍；双份n.
doubt|n v|怀疑；疑虑n.怀疑；不信v.
download|n v|下载；下装v./n.
dragon|n|龙n.
dream|n v|梦想；做梦v.梦想；梦n.
drug|n|药；药物；毒品n.
dry|a v|干的；干燥的；干旱的adj.使干燥；变干v.中考英语核心高频688词第13页共21页Day13（序号397-429）序号英文单词音标中文释义
during||在…期间；在…过程中prep.
eagle|n|鹰n.
earn|v|赚得；获得；赢得v.
earth|n|地球；泥土；大地n.
earthquake|n|地震n.
educate|v|教育；教导；培养v.
effort|n|努力；尝试；尽力n.
either|d|（两者中）任一pron.也（不）adv.
electric|a|电的；电动的；发电的adj.
embarrass|v|使尴尬；使难堪；使窘迫v.
encourage|v|鼓励；激励；支持v.
energy|n|能量；精力；活力n.
engineer|n|工程师；技师n.
enjoy|v|享受；喜爱；欣赏v.
enough|a d|足够的；充分的adj.足够地adv.足够pron.
enter|v|进入；加入；参与v.
entertainment|n|娱乐；消遣；娱乐活动n.中考英语核心高频688词第20页共21页Day20（序号628-660）序号英文单词音标中文释义
environment|n|环境；周围状况n.
equip|v|装备；配备；使具备v.
escape|n v|逃跑；逃脱；避开v.逃跑；逃脱n.
event|n|事件；大事；活动n.
exam|n|考试；测验n.
example|n|例子；实例；榜样n.
excellent|a|极好的；优秀的；杰出的adj.
except||除…之外；不包括prep.
exchange|n v|交换；交流；兑换v.交换；交流n.
excite|v|使兴奋；使激动；激发v.
excuse|n v|原谅；宽恕；免除v.借口；理由n.
exercise|n v|锻炼；运动；练习n.锻炼；运用v.
exhibition|n|展览；展览会；展示n.
expect|v|期待；期望；预料v.
expensive|a|昂贵的；花钱多的adj.
experience|n v|经历；经验n.体验；经历v.
experiment|n v|实验；试验n.做实验；试验v.
expert|a n|专家；能手n.熟练的；专业的adj.
explain|v|解释；说明；阐明v.
express|n v|表达；表示；快递v.快车；快递n.
fail|n v|失败；未通过；未能v.失败；不及格n.
famous|a|著名的；出名的；有名的adj.
fantastic|a|极好的；了不起的；奇异的adj.
farm|n v|耕种；务农v.农场；农庄n.
festival|a n|节日；庆典n.节日的；喜庆的adj.
field|n|田野；场地；领域n.
fight|n v|打架；战斗；对抗v.打架；战斗n.
fill|v|装满；填满；充满v.中考英语核心高频688词第12页共21页Day12（序号364-396）序号英文单词音标中文释义
finish|n v|完成；结束v.结束；末尾n.
flight|n|飞行；航班；航程n.
follow|v|跟随；遵循；理解；效仿v.
foreign|a|外国的；外来的；陌生的adj.
forest|n|森林；林区n.
form|n v|形式；形状；表格n.形成；构成v.
gift|n|礼物；赠品；天赋；才能n.
goal|n|目标；球门；得分n.
government|n|政府；内阁n.
grade|n v|年级；等级；分数n.分级；评分v.
graduate|n v|毕业；获得学位v.毕业生n.
group|n v|组；群；团体n.分组；归类v.
grow|v|生长；成长；种植；变得v.中考英语核心高频688词第4页共21页Day4（100-132）序号英文单词音标中文释义
guide|n v|导游；向导；指南n.引导；指导v.
habit|n|习惯；习性；嗜好n.
habitat|n|栖息地；产地n.
hand|n v|手；指针；帮助n.交；递；给v.
hang|v|悬挂；垂下；吊死v.（hung/hanged）
happen|v|发生；出现；碰巧v.
harbour|n v|港口；港湾n.庇护；窝藏v.中考英语核心高频688词第21页共21页Day21（序号661-688）序号英文单词音标中文释义
hardly|d|几乎不；简直不adv.中考英语核心高频688词第7页共21页Day7（序号199-231）序号英文单词音标中文释义
harmful|a|有害的；伤害的adj.
harvest|n v|收获；收割n.收割；收获v.
hate|n v|憎恨；厌恶；讨厌v.憎恨；厌恶n.
head|n v|头；头部；首领；顶端n.带头；朝向v.
health|n|健康；卫生；保健n.
hear|v|听见；听到；听说；得知v.
heart|n|心；心脏；内心；核心n.
heat|n v|热；热量；热度n.加热；变热v.中考英语核心高频688词第11页共21页Day11（序号331-363）序号英文单词音标中文释义
heavy|a|重的；沉重的；大量的adj.
height|n|高度；身高；海拔n.
help|n v|帮助；援助；协助v.帮助；帮忙n.
hide|n v|隐藏；躲藏；隐瞒v.躲藏；兽皮n.
hobby|n|爱好；嗜好n.
hold|n v|拿；握；持有；举办v.抓住；控制n.
hole|n v|洞；孔；洞穴n.打洞；凿洞v.
hometown|n|家乡；故乡n.
honest|a|诚实的；正直的；坦率的adj.
honor|n v|荣誉；尊敬；荣幸n.尊敬；给予荣誉v.
hope|n v|希望；期望v.希望；期望n.
host|n v|主人；主持人；东道主n.主办；主持v.
human|a n|人；人类n.人的；人类的adj.
humorous|a|幽默的；滑稽的；风趣的adj.
hunt|n v|打猎；追捕；寻找v.打猎；搜寻n.
hurry|n v|匆忙；急忙v.匆忙；急忙n.
hurt|n v|伤害；疼痛v.伤害；痛苦n.
idea|n|想法；主意；概念；构思n.
illness|n|疾病；患病n.
imagine|v|想象；设想；料想v.
immediately|d|立即；马上；直接地adv.中考英语核心高频688词第15页共21页Day15（序号463-495）序号英文单词音标中文释义
important|a|重要的；重大的adj.
impress|v|给…留下深刻印象；使铭记v.
improve|v|改善；改进；提高v.
include|v|包括；包含v.
income|n|收入；所得；收益n.
increase|n v|增加；增多；增长v.增加；增长n.
infer|v|推断；推论；猜想v.
influence|n v|影响；感化n.影响；感化v.
inform|v|通知；告知；报告v.
information|n|信息；消息；资料n.
injury|n|伤害；损伤；受伤处n.
insist|v|坚持；坚决要求；强调v.
instead|d|代替；顶替；反而adv.
instructor|n|指导者；教员；教练n.
intelligence||
interest|n v|兴趣；爱好；利息n.使感兴趣；引起…关注v.
international||
internet|n|互联网；因特网n.
interview|n v|面试；采访n.面试；采访v.
introduce|v|介绍；引进；提出v.
invent|v|发明；创造；虚构v.
invite|v|邀请；招待v.
join|v|加入；参加；连接v.
joke|n v|开玩笑v.笑话；玩笑n.
journey|n|旅行；旅程；旅途n.
joy|n v|高兴；快乐；喜悦n.高兴；使快乐v.
judge|n v|判断；评判；审判v.法官；裁判n.
jungle|n|丛林；密林n.
knife|n|刀；匕首n.
knock|n v|敲；击；碰撞v.敲击；敲门声n.
knowledge|n|知识；学问；了解n.
land|n v|陆地；土地；国土n.着陆；登陆v.
language|n|语言；言语；措辞n.
last|a d v|最后的；最近的adj.持续；维持v.最后；上次adv.
law|n|法律；法规；法则n.
lay|v|放置；铺设；产卵v.
lazy|a|懒惰的；懒散的；慢吞吞的adj.
leader|n|领导者；领袖；首领n.
leave|n v|离开；留下；遗忘v.假期；许可n.
legend|n|传说；传奇故事；传奇人物n.
lesson|n|课；课程；教训n.
level|a n|水平；级别；高度n.水平的；平等的adj.
lie|n v|躺；位于；说谎v.谎言；谎言n.
likely|a d|可能的；有希望的adj.可能；或许adv.
line|n v|线；线条；队列n.排队；划线v.
list|n v|列表；清单n.列出；列举v.
machine|n|机器；机械；设备n.
mad|a|疯狂的；生气的；着迷的adj.
magazine|n|杂志；期刊n.
magic|a n|魔法；魔术n.神奇的；有魔力的adj.
main|a|主要的；最重要的；总的adj.
manage|v|管理；经营；设法做到v.
manner|n|方式；态度；举止n.
mark|n v|标记；做记号；打分v.标记；痕迹；分数n.
marry|v|结婚；嫁；娶v.
master|n v|掌握；精通v.主人；大师；硕士n.
match|n v|匹配；配对；比赛v.比赛；火柴；对手n.
material|n|材料；原料；素材n.
matter|n v|事情；问题；物质n.要紧；有重大影响v.
mean|a v|意思是；意味着；打算v.吝啬的；平均的adj.
meanwhile|d|同时；与此同时adv.
medicine|n|药；医学；医疗n.
member|n|成员；会员；分子n.
memory|n|记忆；回忆；记忆力n.
mention|n v|提到；提及；说起v.提及；说起n.
message|n|消息；信息；留言n.
method|n|方法；办法；方式n.
million|a n|百万；百万个n./adj.
mind|n v|介意；在乎；注意v.头脑；思想；心智n.
monitor|n v|监控；监视v.班长；监视器n.
monster|n|怪物；怪兽；巨人n.
mountain|n|山；山脉n.
mouse|n|老鼠；鼠标n.
move|n v|移动；搬动；感动v.移动；行动n.
museum|n|博物馆n.
national|a|国家的；民族的；全国性的adj.
natural|a|自然的；天生的；正常的adj.
necessary|a|必要的；必需的；必然的adj.
neighbourhood|n|/ˈneɪbəhʊd/街区；邻里；附近地区n.
nervous|a|紧张的；焦虑的；神经质的adj.
note|n v|笔记；便条；音符n.记录；注意v.
notice|n v|通知；注意n.注意到；留意v.
novel|a n|小说n.新奇的；新颖的adj.
obey|v|服从；遵守；听从v.中考英语核心高频688词第5页共21页Day5（序号133-165）序号英文单词音标中文释义
ocean|n|海洋；大洋n.
operate|v|操作；运转；手术v.
opinion|n|意见；看法；主张n.
opposite|a n|在…对面prep.相反的；对立的adj.对立面；反义词n.中考英语核心高频688词第14页共21页Day14（序号430-462）序号英文单词音标中文释义
order|n v|命令；订购；整理v.顺序；订单；命令n.
organization|n|组织；机构；团体n.
otherwise|d|否则；不然；另外adv.
own|a v|自己的；特有的adj.拥有；承认v.
painful|a|痛苦的；疼痛的；令人不快的adj.
paint|n v|绘画；涂；刷v.油漆；颜料n.
patience|n|耐心；忍耐；耐性n.
pay|n v|支付；付款；偿还v.工资；薪水n.
peace|n|和平；平静；安宁n.
percent|a n|百分之…n./adj.
perform|v|表演；执行；完成v.
person|n|人；个人n.
place|n v|地方；位置；场所n.放置；安排v.
planet|n|行星n.
plant|n v|种植；栽种v.植物；工厂n.
plastic|a n|塑料；塑料制品n.塑料的；可塑的adj.
please|v|使高兴；使满意v.请（礼貌请求）int.
plenty|d n|大量；许多pron.充分地adv.丰富n.
poem|n|诗；诗歌n.
point|n v|点；观点；分数n.指向；表明v.
poison|n v|毒药；毒物n.毒害；使中毒v.
polite|a|有礼貌的；客气的；文雅的adj.
pollute|v|污染；弄脏；玷污v.
popular|a|流行的；受欢迎的；大众的adj.
population|n|人口；种群n.
position|n|位置；职位；立场n.
positive|a|积极的；肯定的；正面的adj.
possible|a|可能的；可能发生的adj.
post|n v|邮政；邮件；岗位n.邮寄；张贴；公布v.
power|n v|力量；权力；电力n.驱动；推动v.
practice|n v|练习；实践；实习v.练习；实践n.
praise|n v|表扬；赞扬；称赞v.表扬；赞美n.
prefer|v|更喜欢；宁愿；倾向于v.
prepare|v|准备；预备；筹备v.
present||
president|n|总统；主席；校长n.
pretend|v|假装；伪装；自称v.
prevent|v|预防；防止；阻止v.中考英语核心高频688词第10页共21页Day10（序号298-330）序号英文单词音标中文释义
price|n v|价格；价钱；代价n.给…定价v.
pride|n|骄傲；自豪；自尊n.
print|n v|打印；印刷；出版v.印刷品；印记n.
private|a|私人的；秘密的；私立的adj.
prize|n v|奖品；奖赏；奖金n.珍视；重视v.
probably|d|很可能；大概；或许adv.
process|n v|过程；进程；工序n.加工；处理v.
produce|n v|生产；制造；产生v.产品；农产品n.
profession|n|职业；专业；行业n.
program|n v|程序；节目；计划n.编程；安排v.
progress|n v|进步；进展n.进步；发展v.
project||
promise|n v|承诺；诺言；希望n.承诺；答应v.
proper|a|适当的；正确的；恰当的adj.
protect|v|保护；防护；保卫v.
proud|a|骄傲的；自豪的；得意的adj.
prove|v|证明；证实；显示v.
provide|v|提供；供给；给予v.
province|n|省；省份；领域n.
public|a n|公共的；公众的adj.公众；民众n.
publish|v|出版；发表；公布v.
purpose|n|目的；意图；用途n.
race|n v|种族；赛跑n.赛跑；竞赛v.
raise|v|举起；提高；筹集；养育v.
reach|n v|到达；抵达；伸手v.范围；延伸n.
realize|v|意识到；实现；认识到v.
reason|n v|原因；理由n.推理；说服v.
receive|v|收到；接收；接纳v.
recent|a|最近的；近来的；近代的adj.
record|n v|记录；唱片；履历n.记录；录制v.
reduce|v|减少；降低；缩小v.
refer|v|参考；涉及；指的是v.
reflect|v|反映；反射；思考v.
refuse|v|拒绝；回绝；不愿v.
regard|n v|认为；看作；尊重v.尊敬；问候n.
regret|n v|后悔；遗憾；抱歉v.后悔；遗憾n.
regular|a|定期的；有规律的；常规的adj.
relationship|n|关系；联系；关联n.
relative|a n|亲戚；亲属n.相对的；相关的adj.
relax|v|放松；休息；放宽v.
remain|v|保持；仍然是；剩余v.
remind|v|提醒；使想起v.
repair|n v|修理；修补；修复v.修理；修补n.
reply|n v|回答；回复；回应v.回答；答复n.
report|n v|报告；报道；汇报v.报告；报道n.
represent|v|代表；象征；描绘v.
require|v|需要；要求；依靠v.
rescue|n v|营救；救援v.营救；救援n.
research|n v|研究；调查n.研究；探究v.
resource|n|资源；财力；办法n.
respect|n v|尊重；尊敬；方面n.尊重；尊敬v.
responsible|a|负责的；有责任的；可靠的adj.
restaurant|n|餐馆；饭店；餐厅n.
result|n v|结果；后果；成绩n.导致；结果是v.
resume|n v|重新开始；继续v.简历；摘要n.
retire|v|退休；退职；退出v.
return|n v|返回；归还；回报v.返回；归还；回报n.
review|n v|复习；回顾；评论v.复习；评论n.
risk|n v|风险；危险n.冒险；冒…的险v.
roommate|n|室友；同屋者n.
rule|n v|规则；规定；统治n.统治；裁决v.
satisfy|v|满足；使满意；使确信v.
save|v|拯救；挽救；节省；储存v.中考英语核心高频688词第6页共21页Day6（序号166-198）序号英文单词音标中文释义
saying|n|谚语；格言；警句n.
scare|a v|使害怕；使恐惧v.害怕的；恐惧的adj.
scene|n|场景；场面；景色n.
science|n|科学；理科；学科n.
score|n v|得分；分数；二十n.得分；记分v.
search|n v|搜索；查找；搜寻v.搜索；查找n.
season|n|季节；季；时节n.
seed|n v|种子n.播种；结籽v.
sentence|n v|句子；判决n.判决；宣判v.
serious|a|严肃的；严重的；认真的adj.
serve|v|服务；招待；服役v.
set|n v|放置；设置；制定v.一套；装置n.
shake|n v|摇动；摇晃；颤抖v.摇动；震动n.
shame|n v|羞愧；羞耻；遗憾n.使羞愧；使蒙羞v.
shape|n v|形状；外形；样子n.塑造；形成v.
share|n v|分享；分担；共有v.份额；股份n.
shout|n v|呼喊；喊叫；大声说v.呼喊；叫声n.
show|n v|显示；表明；展示v.表演；展览；节目n.
sick|a|生病的；恶心的；厌恶的adj.
side|n v|边；侧面；方面n.支持；站在…一边v.
sightseeing|a n|观光；游览n./adj.
silence|n v|沉默；寂静n.使沉默；使安静v.
silly|a|愚蠢的；傻的；可笑的adj.
similar|a|相似的；类似的；同样的adj.
simple|a|简单的；单纯的；朴素的adj.
size|n|大小；尺寸；规模n.
skate|n v|滑冰；溜冰v.滑冰鞋n.
ski|n v|滑雪v.滑雪板n.
skill|n|技能；技巧；本领n.
skin|n v|皮肤；外皮n.剥皮；削皮v.
smart|a|聪明的；机灵的；时髦的adj.
smell|n v|闻；嗅；散发气味v.气味；嗅觉n.
smoke|n v|吸烟；冒烟v.烟；烟雾n.
smooth|a v|光滑的；平稳的adj.使光滑；抚平v.
society|n|社会；社团；社交界n.
soft|a|软的；柔软的；温和的adj.
soil|n v|土壤；土地n.弄脏；使污损v.
soldier|n|士兵；军人n.
solve|v|解决；解答；处理v.
sorrow|n v|悲伤；悲痛；懊悔n.感到悲伤v.
sort|n v|种类；类别n.分类；整理v.
sound|n v|听起来；发出声音v.声音；噪音n.
space|n|空间；太空；间隔n.
spare|a v|抽出；匀出；饶恕v.空闲的；多余的adj.
special|a|特别的；特殊的；专门的adj.
speech|n|演讲；讲话；言语n.
speed|n v|加速；疾行v.速度；速率n.
spell|n v|拼写；拼读；拼写v.咒语；符咒n.
spend|n v|花费；度过；消耗v.花费；开销n.
spirit|n|精神；心灵；勇气；情绪n.
sport|n|运动；体育n.
spread|n v|传播；扩散；展开v.传播；蔓延n.
spring|n v|春天；泉水；弹簧n.跳；跃v.
square|a n|正方形；广场；平方n.正方形的；平方的adj.
stamp|n v|邮票；印章；跺脚v.邮票n.
stand|n v|站立；忍受；位于v.站立；立场n.
state|n v|状态；国家；州n.陈述；说明v.
station|n|车站；电台；站n.中考英语核心高频688词第8页共21页Day8（序号232-264）序号英文单词音标中文释义
stay|n v|停留；保持；暂住v.停留；逗留n.
step|n v|步；步骤；台阶n.走；迈步v.
stick|n v|粘；贴；插入；坚持v.棍；棒；枝条n.
sting|n v|刺痛；叮咬；激怒v.刺痛；刺n.
stomach|n v|胃；腹部n.忍受；容忍v.
stop|n v|停止；阻止；停留v.停止；车站n.
store|n v|储存；储藏v.商店；仓库n.
straight|a d|直接地；笔直地adv.直的；正直的adj.
strange|a|奇怪的；陌生的；奇异的adj.
strength|n|力量；力气；实力n.
stress|n v|压力；紧张n.强调；施压v.
strict|a|严格的；严厉的；严谨的adj.
strong|a|强壮的；坚固的；强烈的adj.
structure|n v|结构；构造；组织n.构建；组织v.
study|n v|学习；研究v.学习；研究；书房n.
style|n|风格；样式；时尚n.
subject|a n v|科目；主题；主语n.服从的adj.使服从v.
succeed|v|成功；达成；继承v.
suffer|v|遭受；忍受；经历v.
suggest|v|建议；提议；表明；暗示v.
sunshine|n|阳光；日光；晴天n.
supply|n v|供应；提供v.供应；补给n.
support|n v|支持；支撑；赞助v.支持；支撑n.中考英语核心高频688词第19页共21页Day19（序号595-627）序号英文单词音标中文释义
suppose|v|假设；认为；应当v.
surf|n v|冲浪；浏览v.冲浪n.
surprise|n v|使惊讶；使惊奇v.惊讶；惊喜n.
survey|n v|调查；测量n.调查；勘测v.
survive|v|幸存；存活；继续存在v.
sweep|n v|扫；打扫；席卷v.打扫；清扫n.
switch|n v|开关；转换；切换n.转换；切换v.
symbol|n|象征；符号；标志n.
system|n|系统；体系；制度n.
