# 来源：kajweb/dict GaoZhongluan_2（有道高考必备词汇，非官方新课标3500表）
# 格式：word|词性|中文释义。词性含 n/v/a/d 时分别控制生成复数/动词变形/比较级。
# 词条数：3665（跳过 3 条：词组、重复或非法字符）
afterward|d|adv 以后，后来
again|d n|adv 又，此外；再一次；再说；增加；n （英、保）阿盖恩
against|a|prep 反对，违反；靠；倚；防备；adj 不利的；对立的
age|n v|n 年龄；时代；寿命，使用年限；阶段；v 成熟；变老
agency|n|n 代理，中介；代理处，经销处
agenda|n|n 议程；日常工作事项；日程表
agent|a n v|n 代理人，代理商；药剂；特工；vt 由…作中介；由…代理
aggression|n|n 侵略；进攻；侵犯；侵害
aggressive|a|adj 侵略性的；好斗的；有进取心的；有闯劲的
ago|a d n|adv 以前，以往；adj 以前的；过去的
agree|v|v 同意，赞成；承认；约定，商定
agreement|n|n 协议；同意，一致
agricultural|a|adj 农业的；农艺的
agriculture|n|n 农业；农耕；农业生产；农艺，农学
ahead|a d|adj 向前；在前的；领先；adv 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来
aid|n v|n 援助；帮助；助手；帮助者；v 援助；帮助；有助于
aids||abbr 获得性免疫缺乏综合征；爱滋病（Acquired Immune Deficiency Syndrome）
aim|n v|v 目的在于；引导；把…对准；n 目的；目标；对准
air|n v|n 空气，大气；天空；样子；曲调；v 使通风，晾干；夸耀
aircraft|n|n 飞机，航空器
airline|a n|n 航空公司；航线；adj 航线的
airmail|n|n 航空邮件
airplane|n|n 飞机
airport|n|n 机场；航空站
airspace|n|n 空域；领空；空间
alarm|n v|n 闹钟；警报，警告器；惊慌；v 警告；使惊恐
album|n|n 相簿；唱片集；集邮簿；签名纪念册
alcohol|n|n 酒精，乙醇
alcoholic|a n|adj 酒精的，含酒精的；n 酒鬼，酗酒者
algebra|n|n 代数学
alike|a d|adj 相似的；相同的；adv 以同样的方式；类似于
alive|a|adj 活着的；活泼的；有生气的
all|a d n|adj 全部的；adv 全然地；越发
allergic|a|adj 对…过敏的；对…极讨厌的
alley|n|n 小巷；小路；小径
allocate|v|v 分配；拨出；使坐落于
allow|v|v 允许；给予；认可
allowance|n v|n 津贴，零用钱；允许；限额；v 定量供应
almost|d|adv 差不多，几乎
alone|a d|adj 独自的；单独的；孤独的；adv 独自地；单独地
along|d|adv 一起；向前；来到；prep 沿着；顺着
alongside|d|adv 在旁边；prep 在……旁边
aloud|d|adv 大声地；出声地
alphabet|n|n 字母表，字母系统；入门，初步
already|d|adv 已经，早已；先前
also|d n|adv 也；而且；同样；conj 并且；另外
alternative|a n|adj 供选择的；选择性的；交替的；n 二中择一；供替代的选择
although||conj 尽管；虽然；但是；然而
altitude|n|n 高地；高度；[数] 顶垂线；（等级和地位等的）高级；海拔
altogether|d n|adv 完全地；总共；总而言之；n 整个；裸体
aluminium|a n|adj 铝的；n 铝
always|d|adv 永远，一直；总是；常常
am|n v|abbr 调频，调谐，调幅（ amplitude modulation）；v （用于第一人称单数现在时）
amateur|a n|n 爱好者；业余爱好者；外行；adj 业余的；外行的
amaze|v|v 使吃惊
amazing|a v|adj 令人惊异的；v 使吃惊（amaze的ing形式）
ambassador|n|n 大使；代表；使节
ambiguous|a|adj 模糊不清的；引起歧义的
ambition|n v|n 野心，雄心；抱负，志向；v 追求；有…野心
ambulance|n|n [车辆][医] 救护车；战时流动医院
america|n|n 美洲（包括北美和南美洲）；美国
american|a n|n 美国人，美洲人；美国英语；adj 美国的，美洲的；地道美国式的
among||prep 在…中间；在…之中
amount|n v|v 总计，合计；相当于；共计；产生…结果；n 数量；总额，总数
ample|a n|adj 丰富的；足够的；宽敞的；n (Ample)人名；(西)安普尔
amuse|v|v 娱乐；消遣；使发笑；使愉快
amusement|n|n 消遣，娱乐；乐趣
analysis|n|n 分析；分解；验定
analyze|v|v 对…进行分析，分解（等于analyse）
ancestor|n|n 始祖，祖先；被继承人
anchor|a n v|n 锚；抛锚停泊；靠山；新闻节目主播；v 抛锚；使固定；主持节目
ancient|a n|adj 古代的；古老的，过时的；年老的；n 古代人；老人
and|n|conj 和，与；就；而且；但是；然后；n (And)人名；(土、瑞典)安德
anecdote|n|n 轶事；奇闻；秘史
anger|n v|n 怒，愤怒；忿怒；v 使发怒，激怒；恼火
angle|n v|v 钓鱼；谋取；n 角度，角，方面
angry|a|adj 生气的；愤怒的；狂暴的；（伤口等）发炎的
animal|n|n 动物
ankle|n|n 踝关节，踝
anniversary|n|n 周年纪念日
announce|v|v 宣布；述说；预示；播报
announcement|n|n 公告；宣告；发表；通告
annoy|n v|v 骚扰；惹恼；打搅；n 烦恼（等于annoyance）
annual|a n|adj 年度的；每年的；n 年刊，年鉴；一年生植物
another|a|adj 又一，另一；另外的；不同的；pron 另一个；又一个
answer|n v|v 回答；符合；n 回答；答案；答辩
ant|n|n 蚂蚁
antique|a n v|adj 古老的，年代久远的；过时的，古董的；古风的，古式的；n 古董，古玩；古风，古希腊和古罗马艺术风格
anxiety|n|n 焦虑；渴望；挂念；令人焦虑的事
anxious|a|adj 焦虑的；担忧的；渴望的；急切的
any|a d n|adj 任何的；所有的；丝毫；pron 任何；任何一个；若干
anyhow|d|adv 总之；无论如何；不管怎样
anyone||pron 任何人；任何一个
anything||pron 任何事
anyway|d|adv 无论如何，不管怎样；总之
anywhere|d n|adv 在任何地方；无论何处；n 任何地方
apart|a d|adv 相距；与众不同地；分离着；adj 分离的；与众不同的
apartment|n|n 公寓；房间
apologize|v|v 道歉；辩解；赔不是
apology|n|n 道歉；谢罪；辩护；勉强的替代物
apparent|a|adj 显然的；表面上的
appeal|n v|v 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判；n 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
appear|v|v 出现；显得；似乎；出庭；登场
appearance|n|n 外貌，外观；出现，露面
appendix|n|n 附录；阑尾；附加物
appetite|n|n 食欲；嗜好
applaud|v|v 赞同；称赞；向…喝彩
apple|n|n 苹果，苹果树，苹果似的东西；[美俚]炸弹，手榴弹，（棒球的）球；[美俚]人，家伙。
applicant|n|n 申请人，申请者；请求者
application|n|n 应用；申请；应用程序；敷用
apply|v|v 申请；涂，敷；应用
appoint|v|v 任命；指定；约定
appointment|n|n 任命；约定；任命的职位
appreciate|v|v 欣赏；感激；领会；鉴别
appreciation|n|n 欣赏，鉴别；增值；感谢
approach|n v|n 方法；途径；接近；v 接近；着手处理
appropriate|a v|adj 适当的；恰当的；合适的；v 占用，拨出
approve|v|v 批准；赞成；为…提供证据
approximately|d|adv 大约，近似地；近于
april|n|n 四月
apron|n v|n 围裙；[航] 停机坪；舞台口；vt 着围裙于；围绕
arabic|a n|adj 阿拉伯的；阿拉伯人的；n 阿拉伯语
arbitrary|a|adj [数] 任意的；武断的；专制的
arch|a n v|n 弓形，拱形；拱门；adj 主要的
architect|n|n 建筑师
architecture|n|n 建筑学；建筑风格；建筑式样；架构
arctic|a n|adj 北极的；极寒的；n 北极圈；御寒防水套鞋
are|n v|v 是（be的第二人称单复数现在式）；n 公亩
area|n|n 区域，地区；面积；范围
argue|n v|v 争论，辩论；提出理由；n (Argue)人名；(英、法)阿格
argument|n|n 论证；论据；争吵；内容提要
arise|n v|v 出现；上升；起立；n (Arise)人名；(西)阿里塞；(日)在濑(姓)
arithmetic|n|n 算术，算法
arm|n v|n 手臂；武器；袖子；装备；部门；v 武装起来
armchair|a n|n 扶手椅，单人沙发；adj 不切实际的
army|n|n 陆军，军队
around|d|adv 大约；到处；在附近；prep 四处；在…周围
arrange|v|v 安排；排列；整理
arrangement|n|n 布置；整理；准备
arrest|n v|v 逮捕；阻止；吸引；n 逮捕；监禁
arrival|n|n 到来；到达；到达者
arrive|n v|v 到达；成功；达成；出生；n (Arrive)人名；(法)阿里夫
arrow|n v|n 箭，箭头；箭状物；箭头记号；vt 以箭头指示；箭一般地飞向
art|a n v|n 艺术；美术；艺术品；adj 艺术的；艺术品的
article|n v|n 文章；物品；条款；[语] 冠词；v 订约将…收为学徒或见习生；使…受协议条款的约束
artificial|a|adj 人造的；仿造的；虚伪的；非原产地的；武断的
artist|n|n 艺术家；美术家（尤指画家）；大师
as|d|conj 因为；随着；虽然；依照；当…时；prep 如同；当作；以…的身份
ash|n|n 灰；灰烬
ashamed|a|adj 惭愧的，感到难为情的；耻于……的
asia|n|n 亚洲
asian|a n|n 亚洲人；adj 亚洲的；亚洲人的
aside|d n|adv 离开，撇开；在旁边；n 旁白；私语，悄悄话；离题的话
ask|n v|v 问，询问；要求；需要；邀请；讨价；n (Ask)人名；(芬、瑞典)阿斯克
asleep|a d|adj 睡着的；麻木的；长眠的；adv 熟睡地；进入睡眠状态
aspect|n|n 方面；方向；形势；外貌
assess|v|v 评定；估价；对…征税
assessment|n|n 评定；估价
assist|n v|n 帮助；助攻；v 参加；出席
assistance|n|n 援助，帮助；辅助设备
assistant|a n|n 助手，助理，助教；adj 辅助的，助理的；有帮助的
associate|a n v|v 交往；结交；n 同事，伙伴；关联的事物
association|n|n 协会，联盟，社团；联合；联想
assume|v|v 假定；设想；承担；采取
assumption|n|n 假定；设想；担任；采取
astonish|v|v 使惊讶
astronaut|n|n 宇航员，航天员；太空旅行者
astronomer|n|n 天文学家
astronomy|n|n 天文学
at|n|prep 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于；n 阿特（老挝货币基本单位att）；[化]砹（极不稳定放射性元素）
athlete|n|n 运动员，体育家；身强力壮的人
athletic|a|adj 运动的，运动员的；体格健壮的
athletics|n|n 竞技；体育运动；田径运动
atlantic|a n|n 大西洋；adj 大西洋的
atmosphere|n|n 气氛；大气；空气
atom|n|n 原子
attach|v|v 使依附；贴上；系上；使依恋
attain|n v|v 达到，实现；获得；到达；n 成就
attempt|n v|n 企图，试图；攻击；v 企图，试图；尝试
attend|v|v 出席；上（大学等）；照料；招待；陪伴
attention|n|n 注意力；关心；立正！（口令）
attentively|d|adv 注意地；聚精会神地；周到地
attitude|n|n 态度；看法；意见；姿势
attract|v|v 吸引；引起
attraction|n|n 吸引，吸引力；引力；吸引人的事物
attractive|a|adj 吸引人的；有魅力的；引人注目的
audience|n|n 观众；听众；读者；接见；正式会见；拜会
august|a n|adj 威严的；令人敬畏的；n 八月（简写为Aug）
aunt|n|n 阿姨；姑妈；伯母；舅妈
australia|n|n 澳大利亚，澳洲
australian|a n|adj 澳大利亚的，澳大利亚人的；n 澳大利亚人
authentic|a|adj 真正的，真实的；可信的
author|n v|n 作者；作家；创始人；v 创作出版
authority|n|n 权威；权力；当局
automatic|a n|adj 自动的；无意识的；必然的；n 自动机械；自动手枪
autonomous|a|adj 自治的；自主的；自发的
autumn|a n|n 秋天；成熟期；渐衰期，凋落期；adj 秋天的，秋季的
available|a|adj 可获得的；可购得的；可找到的；有空的
avenue|n|n 大街；林荫大道；[比喻](达到某物的)途径，手段，方法，渠道
average|a n v|n 平均；平均数；海损；adj 平均的；普通的；通常的
avoid|v|v 避免；避开，躲避；消除
awake|a v|v 觉醒，意识到；醒来；被唤起；adj 醒着的
award|n v|v 授予；判定；n 奖品；判决
aware|a n|adj 意识到的；知道的；有…方面知识的；懂世故的；n (Aware)人名；(阿拉伯、索)阿瓦雷
away|d|adv 离去，离开；在远处
awesome|a|adj 令人敬畏的；使人畏惧的；可怕的；极好的
awful|a|adj 可怕的；极坏的；使人敬畏的
awkward|a|adj 尴尬的；笨拙的；棘手的；不合适的
baby|a n v|n 婴儿，婴孩；孩子气的人；v 纵容，娇纵；把……当婴儿般对待
bachelor|n|n 学士；单身汉；（尚未交配的）小雄兽
back|a d n v|n 后面；背部；靠背；足球等的后卫；书报等的末尾；v 支持；后退；背书；下赌注
backache|n|n 背痛；腰痛
background|a n v|n 背景；隐蔽的位置；v 作…的背景
backward|a d|adj 向后的；反向的；发展迟缓的；adv 向后地；相反地
bacon|n|n 咸肉；腌肉；熏猪肉
bacterium|n|n [微] 细菌；杆菌属
bad|a d n|adj 坏的；严重的；劣质的；n 坏事；坏人
badly|d|adv 非常，很；严重地，厉害地；恶劣地
badminton|n|n 羽毛球
bag|n v|n 袋；猎获物；（俚）一瓶啤酒；v 猎获；把…装入袋中；占据，私吞；使膨大
baggage|n|n 行李；[交] 辎重（军队的）
bake|n v|v 烤，烘焙；n 烤；烘烤食品
bakery|n|n 面包店
balance|n v|n 平衡；余额；匀称；v 使平衡；结算；使相称
balcony|n|n 阳台；包厢；戏院楼厅
ball|n v|n 球；舞会；v 成团块
ballet|n|n 芭蕾舞剧；芭蕾舞乐曲
balloon|a n v|v 激增；膨胀如气球；n 气球
ballpoint|n|n 圆珠笔
bamboo|a n v|n 竹，竹子；vt 为…装上篾条
ban|n v|v 禁止，取缔；n 禁令，禁忌
banana|n|n 香蕉；喜剧演员；大鹰钩鼻
band|n v|n 带，环；[物] 波段；(演奏流行音乐的) 乐队；v 用带绑扎；给镶边
bandage|n v|n 绷带；v 用绷带包扎
bang|d n v|n 刘海；重击；突然巨响；adv 直接地；砰然地；突然巨响地
bank|n v|n 银行；岸；浅滩；储库；v 将…存入银行；倾斜转弯
bar|n v|n 条，棒；酒吧；障碍；法庭；v 禁止；阻拦
barbecue|n v|n 烤肉；吃烤肉的野宴；v 烧烤；烤肉
barber|n v|v 为…理发；修整；n 理发师
barbershop|a n|n 理发店；adj 有男声合唱之和声的
bare|a n v|adj 空的；赤裸的，无遮蔽的；v 露出，使赤裸
bargain|n v|n 交易；便宜货；契约；v 讨价还价；议价；(谈价钱后)卖
barrier|n v|n 障碍物，屏障；界线；vt 把…关入栅栏
base|a n v|n 基础；底部；垒；adj 卑鄙的；低劣的
basement|n|n 地下室；地窖
basic|a n|adj 基本的；基础的；n 基础；要素
basin|n|n 水池；流域；盆地；盆
basis|n|n 基础；底部；主要成分；基本原则或原理
basket|n v|n 篮子；（篮球比赛的）得分；一篮之量；篮筐；vt 装入篮
basketball|n|n 篮球；篮球运动
bat|n v|n 蝙蝠；球棒；球拍；批处理文件的扩展名；v 用球棒击球；击球率达…
bath|n v|n 沐浴；浴室；浴盆；v 洗澡
bathe|n v|v 沐浴；用水洗；n 洗澡；游泳
bathrobe|n|n 浴衣；睡衣
bathroom|n|n 浴室；厕所；盥洗室
bathtub|n|n 浴缸
battery|n|n [电] 电池，蓄电池
battle|n v|n 战役；斗争；v 斗争；作战
battleground|n|n 战场
bay|n v|n 海湾；狗吠声；v 向…吠叫
be|n v|v 是； 有，存在； 做，成为； 发生；n (Be)人名；(缅)拜；(日)部(姓)；(朝)培；(中非)贝
beach|n v|n 海滩；湖滨；v 将…拖上岸
beam|n v|n 横梁；光线；电波；船宽；[计量] 秤杆；v 发送；以梁支撑；用…照射；流露
bean|n v|n 豆；嘴峰；毫无价值的东西；v 击…的头部
beancurd|n|n 豆腐
bear|n v|v 结果实，开花（正式）；n 熊
beard|n v|v 公然反对；抓…的胡须；n 胡须；颌毛
beast|n|n 野兽；畜生，人面兽心的人
beat|a n v|v 打；打败；n 拍子；敲击；有规律的一连串敲打
beautiful|a|adj 美丽的
beauty|n|n 美；美丽；美人；美好的东西
because||conj 因为
become|v|v 成为；变得；变成
bed|n v|n 床；基础；河底， 海底；v 使睡觉；安置，嵌入；栽种
bedclothes|n|n 床上用品；铺盖
beddings|a n v|n 寝具；（建筑）[建] 基床；（家畜）草垫；adj 适于花坛种植的
bedroom|a n|n 卧室；adj 两性关系的；城郊住宅区的
bee|n|n 蜜蜂，蜂；勤劳的人
beef|n v|n 牛肉；肌肉；食用牛；牢骚；v 抱怨，告发；发牢骚
beehive|n|n 蜂窝；蜂箱
beer|n v|n 啤酒；vi 喝啤酒
before|d|prep 在…之前，先于；adv 以前；在前
beg|n v|v 乞讨；恳求；回避正题；n (Beg)人名；(德、塞、巴基)贝格
begin|n v|v 开始；n (Begin)人名；(以、德)贝京；(英)贝让
beginning|n v|n 开始；起点；v 开始；创建（begin的ing形式）
behalf|n|n 代表；利益
behave|v|v 表现；（机器等）运转；举止端正；（事物）起某种作用
behavious|n|n 行为
behind|d n|prep 落后于；支持；晚于；adv 在后地；在原处
being|a n|n 存在；生命；本质；品格；adj 存在的；现有的
belgium|n|n 比利时（西欧国家，首都布鲁塞尔Brussels）
belief|n|n 相信，信赖；信仰；教义
believe|v|v 信任；料想；笃信宗教
bell|n v|n 铃，钟；钟声，铃声；钟状物；v 装钟于，系铃于
belly|n v|n 腹部；胃；食欲；v 涨满；鼓起
belong|v|v 属于，应归入；居住；适宜；应被放置
below|d n|adv 在下面，在较低处；在本页下面；prep 在…下面
belt|n v|n 带；腰带；地带；v 用带子系住；用皮带抽打
bench|n v|n 长凳；工作台；替补队员；v 给…以席位；为…设置条凳
bend|n v|v 使弯曲；使屈服；使致力；使朝向；n 弯曲
beneath|d|prep 在…之下；adv 在下方
beneficial|a|adj 有益的，有利的；可享利益的
benefit|n v|n 利益，好处；救济金；v 有益于，对…有益
bent|a n|n 爱好，嗜好；adj 弯曲的；决心的
beside||prep 在旁边；与…相比；和…无关
besides|d|adv 此外；而且；prep 除…之外
best|a d n v|n 最好的人，最好的事物；最佳状态；adj 最好的
betray|v|v 背叛；出卖；泄露（秘密）；露出…迹象
better|a d n v|n 长辈；较好者；打赌的人（等于bettor）；adv 更好的；更多的；较大程度地
between|d|prep 在…之间；adv 在中间
beyond|d n|prep 超过；越过；那一边；在较远的一边；adv 在远处；在更远处
bicycle|n v|n 自行车；v 骑脚踏车
bid|n v|v 投标；出价；表示；吩咐；n 出价；叫牌；努力争取
big|a d n|adj 大的；重要的；量大的；adv 大量地；顺利；夸大地
bike|n v|n 自行车；脚踏车；v 骑自行车（或摩托车）
bill|n v|n [法] 法案；广告；账单；[金融] 票据；钞票；清单；v 宣布；开账单；用海报宣传
billion|a n|n 十亿；大量；num 十亿
bingo|n|n 宾戈游戏
biochemistry|n|n 生物化学
biography|n|n 传记；档案；个人简介
biology|n|n （一个地区全部的）生物；生物学
bird|n v|n 鸟；家伙；羽毛球；v 向…喝倒彩；起哄
birdcage|n|n 鸟笼；鸟笼状物；信号灯；宿舍
birth|n|n 出生；血统，出身；起源
birthday|n|n 生日，诞辰；诞生的日子
birthplace|n|n 出生地
biscuit|n|n 小点心，饼干
bishop|n|n （基督教的）主教；（国际象棋的）象
bit|a d n v|n [计] 比特（二进位制信息单位）；少量；马嚼子；辅币；老一套；一点，一块；vt 控制
bite|n v|v 咬；刺痛；n 咬；一口；咬伤；刺痛
bitter|a d n v|adj 苦的；痛苦的；尖刻的；充满仇恨的；n 苦味；苦啤酒
black|a n v|adj 黑色的；黑人的；邪恶的；n 黑色；黑人；黑颜料
blackboard|n|n 黑板
blame|n v|v 责备；归咎于；n 责备；责任；过失
blank|a n v|adj 空白的；空虚的；单调的；n 空白；空虚；空白表格
blanket|a n v|n 毛毯，毯子；毯状物，覆盖层；adj 总括的，全体的；没有限制的
bleed|v|v 使出血；榨取
bless|n v|v 祝福；保佑；赞美；n (Bless)人名；(英、意、德、匈)布莱斯
blind|a d n v|adj 盲目的；瞎的；adv 盲目地；看不见地
block|a n v|n 块；街区；大厦；障碍物；v 阻止；阻塞；限制；封盖
blood|n v|n 血，血液；血统；v 从…抽血；使先取得经验
blouse|n v|n 宽松的上衣；女装衬衫；vt 使…宽松下垂
blow|n v|n 吹；打击；殴打；v 风吹；喘气
blue|a n v|n 蓝色；[复数]（美国海、陆、空三军穿的）蓝色制服；蓝颜料；[the blue(s)][用作单数或复数]布鲁斯（歌曲）（一种伤感的美国黑人民歌；adj 蓝色的；沮丧的，忧郁的；下流的
board|n v|n 董事会；木板；甲板；膳食；v 上（飞机、车、船等）；用板盖上；给提供膳宿
boat|n v|n 小船；轮船；v 划船
boating|a n v|n 划船；adj 划船的
boil|n v|v 煮沸，沸腾；激动，激昂；n 沸腾，煮沸；疖子
bomb|n v|v 轰炸，投弹于；n 炸弹
bond|n v|n 债券；结合；约定；粘合剂；纽带；v 结合，团结在一起
bone|n v|n 骨；骨骼；v 剔去的骨；施骨肥于
bonus|n|n 奖金；红利；额外津贴
book|n v|n 书籍；卷；帐簿；名册；工作簿；v 预订；登记
bookcase|n|n [家具] 书柜，书架
bookmark|n|n 书签（等于bookmarker）；标记
bookshelf|n|n 书架
bookshop|n|n 书店
bookstore|n|n 书店（等于bookshop）
boom|n v|v 使兴旺；发隆隆声；n 繁荣；吊杆；隆隆声
boot|n v|v 引导；踢；解雇；使穿靴；n 靴子；踢；汽车行李箱
booth|n|n 货摊；公用电话亭
bored|a v|adj 无聊的；无趣的；烦人的；v 使厌烦（bore的过去式）；烦扰
boring|a n v|adj 无聊的；令人厌烦的；n 钻孔
born|a n v|v 出世（bear的过去分词）；adj 天生的
borrow|n v|v 借；借用；从其他语言中引入；n (Borrow)人名；(英)博罗
boss|n v|n 老板；首领；工头；v 指挥，调遣；当…的领导
botanical|a n|adj 植物学的；n 植物性药材
botany|n|n 植物学；地区植物总称
both|a d n|adj 两个的；两者的；adv 并；又；两者皆
bottle|n v|n 瓶子；一瓶的容量；v 控制；把…装入瓶中
bottom|a n v|n 底部；末端；臀部；尽头；adj 底部的
bounce|n v|n 跳；弹力；活力；v 弹跳；使弹起
bound|a n v|adj 有义务的；必定的；受约束的；装有封面的；v 束缚；使跳跃
boundary|n|n 边界；范围；分界线
bow|a n v|n 弓；鞠躬；船首；v 鞠躬；弯腰
bowl|n v|n 碗；木球；大酒杯；v 玩保龄球；滑动；平稳快速移动
bowling|n v|n 滚木球戏；保龄球戏；v 打保龄球（bowl的现在分词）
box|n v|n 箱，盒子；包厢；一拳；v 拳击
boxing|n v|n 拳击；装箱；围模；做箱的材料；v 将…装入盒中（box的ing形式）
boy|n|n 男孩；男人
boycott|n v|v 联合抵制；拒绝参加；n 联合抵制
brain|n v|n 头脑，智力；脑袋；v 猛击…的头部
brake|n v|v 刹车；n 闸，刹车；阻碍
branch|n v|v 分支；出现分歧；n 树枝，分枝；分部；支流
brand|n v|v 铭刻于，铭记；打烙印于；印…商标于；n 商标，牌子；烙印
brave|a n v|adj 勇敢的；华丽的；v 勇敢地面对
bravery|n|n 勇敢；勇气
bread|n v|n 面包；生计；v 在…上洒面包屑
break|n v|v 打破；折断；弄坏；削弱；n 破裂；间断；（持续一段时间的状况的）改变；间歇
breakfast|n v|n 早餐；早饭；v 吃早餐
breakthrough|n|n 突破；突破性进展
breast|n v|n 乳房，胸部；胸怀；心情；v 以胸对着；与…搏斗
